id,nom_medicament,nom_generique,classe_therapeutique,famille_pharmacologique,posologie_adulte,posologie_enfant,dose_maximale,frequence_administration,grossesse,allaitement
11,EZETIMIBE/SIMVASTATINE EVOLUGEN,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
12,EZETIMIBE/SIMVASTATINE KRKA,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
13,EZETIMIBE/SIMVASTATINE SANDOZ,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
14,EZETIMIBE/SIMVASTATINE TEVA,INEGY 10 mg/40 mg cp,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
15,EZETIMIBE/SIMVASTATINE ALTER,INEGY,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
16,EZETIMIBE/SIMVASTATINE ARROW,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
17,EZETIMIBE/SIMVASTATINE BIOGARAN,INEGY 10 mg/40 mg cp,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
18,EZETIMIBE/SIMVASTATINE CRISTERS,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
19,EZETIMIBE/SIMVASTATINE CRISTERS PHARMA,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour. Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie. Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
20,EZETIMIBE/ATORVASTATINE VIATRIS,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
21,EZETIMIBE/ATORVASTATINE ZENTIVA,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
22,EZETIMIBE/ATORVASTATINE ZYDUS,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
23,EZETIMIBE/SIMVASTATINE ACCORD,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
24,EZETIMIBE/SIMVASTATINE ALMUS,INEGY 10 mg/40 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Simvastatine + ézétimibe > Métabolisme - Diabète - Nutrition,SIMVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,Enfant de plus de 10 ans : le traitement est initié sous la surveillance d'un spécialiste qui fixe la posologie.,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est contre-indiqué chez la femme enceinte. Il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, arrêtez la prise de ce médicament et consultez votre médecin.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
25,EZETIMIBE/ATORVASTATINE ARROW,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,,,,,,
26,EZETIMIBE/ATORVASTATINE BIOGARAN,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
27,EZETIMIBE/ATORVASTATINE EG,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
28,EZETIMIBE/ATORVASTATINE SANDOZ,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
29,EZETIMIBE/ATORVASTATINE TEVA,LIPTRUZET 10 mg/80 mg cp pellic,Métabolisme - Diabète - Nutrition > Hypolipémiants > Inhibiteurs de la HMG Co-A réductase (statines) en association > Atorvastatine + ézétimibe > Cardiologie - Angéiologie > Prévention cardiovasculaire,ATORVASTATINE ET EZETIMIBE,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"Ce médicament n'a pas d'indication chez la femme enceinte et il doit être interrompu en cas de désir de grossesse. Si une grossesse survient sous traitement, consultez votre médecin et arrêtez la prise de ce médicament. Aucune malformation imputable à ce médicament n'a été observée à ce jour.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
30,EZETIMIBE ZYDUS,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
31,EZETIMIBE ZENTIVA,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
32,EZETIMIBE VIATRIS,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
33,EZETIMIBE TEVA,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
34,EZETIMIBE SANDOZ,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
35,EZETIMIBE KRKA,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
36,EZETIMIBE EVOLUGEN,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
37,EZETIMIBE EG,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
38,EZETIMIBE CRISTERS PHARMA,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
39,EZETIMIBE CRISTERS,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
40,EZETIMIBE BIOGARAN,EZETROL 10 mg cp,Cardiologie - Angéiologie > Prévention cardiovasculaire > Hypolipémiants > Inhibiteur de l'absorption intestinale du cholestérol : ézétimibe > Métabolisme - Diabète - Nutrition,Hypolipémiant,Adulte : 1 comprimé par jour.,,,1 comprimé par jour,"L'effet de ce médicament pendant la grossesse est mal connu. Son usage est déconseillé sauf en cas de nécessité absolue. En association avec une statine, son usage est contre-indiqué chez la femme enceinte.",Les données disponibles ne permettent pas de savoir si ce médicament passe dans le lait maternel ; un choix est donc nécessaire entre l'allaitement et la prise du médicament. Cette décision devra être prise en accord avec votre médecin.
